
*
***** Sword3PaySys Start (@ 2025/11/16 09:09:06.885) >>>>>
*

[2025/11/16 09:09:13] 1 >> DB Connect 0 is busy !
[2025/11/16 09:09:13] 2 >> Add Gateway(192.168.254.53 : 61729) Client 0 ! // -- At 0
[2025/11/16 09:09:13] 3 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/16 09:09:13] 4 >> Gateway unlock OK!
[2025/11/16 09:09:13] 5 >> Gateway Connect OK!
[2025/11/16 09:09:13] 6 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/16 09:09:16] 7 >> DB Connect 0 is free !
[2025/11/16 09:09:22] 8 >> DB Connect 0 is busy !
[2025/11/16 09:09:22] 9 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/16 09:09:24] 10 >> Gateway txjx(192.168.254.53): User 123456 Logout Success ! (Ext:0)
[2025/11/16 09:09:24] 11 >> DB Connect 0 is free !
[2025/11/16 09:09:24] 12 >> DB Connect 0 is busy !
[2025/11/16 09:09:24] 13 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/16 09:09:24] 14 >> DB Connect 0 is free !
[2025/11/16 09:09:28] 15 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:09:43] 16 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:09:57] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:10:13] 18 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:10:28] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:10:43] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:10:58] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:11:13] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:11:28] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:11:46] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:12:01] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:12:16] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:12:31] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:12:46] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:13:01] 29 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:13:16] 30 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:13:31] 31 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:13:46] 32 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:14:01] 33 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:14:16] 34 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:14:31] 35 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:14:46] 36 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:15:01] 37 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:15:16] 38 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:15:31] 39 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:15:46] 40 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:16:01] 41 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:16:16] 42 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:16:31] 43 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:16:46] 44 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 09:17:01] 45 >> Gateway txjx(192.168.254.53): Ping 15(s)
