
*
***** Sword3PaySys Start (@ 2025/11/16 14:44:23.802) >>>>>
*

[2025/11/16 14:44:29] 1 >> DB Connect 0 is busy !
[2025/11/16 14:44:29] 2 >> Add Gateway(192.168.254.53 : 63199) Client 0 ! // -- At 0
[2025/11/16 14:44:29] 3 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/16 14:44:29] 4 >> Gateway unlock OK!
[2025/11/16 14:44:29] 5 >> Gateway Connect OK!
[2025/11/16 14:44:29] 6 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/16 14:44:32] 7 >> DB Connect 0 is free !
[2025/11/16 14:44:41] 8 >> DB Connect 0 is busy !
[2025/11/16 14:44:41] 9 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/16 14:44:41] 10 >> DB Connect 0 is free !
[2025/11/16 14:44:44] 11 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:44:59] 12 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:45:14] 13 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:45:29] 14 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:45:44] 15 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:45:59] 16 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:46:14] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:46:29] 18 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:46:44] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:46:59] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:47:14] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:47:29] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:47:44] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:47:59] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:48:14] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:48:29] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:48:44] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:48:59] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:49:14] 29 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:49:29] 30 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:49:47] 31 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:50:02] 32 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:50:17] 33 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:50:32] 34 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 14:50:38] 35 >> DB Connect 0 is busy !
[2025/11/16 14:50:38] 36 >> Gateway txjx(192.168.254.53): User 123456 Login Failed ! // --- Already login
