
*
***** Sword3PaySys Start (@ 2025/11/16 17:14:22.335) >>>>>
*

[2025/11/16 17:14:28] 1 >> DB Connect 0 is busy !
[2025/11/16 17:14:28] 2 >> Add Gateway(192.168.254.53 : 64287) Client 0 ! // -- At 0
[2025/11/16 17:14:28] 3 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/16 17:14:28] 4 >> Gateway unlock OK!
[2025/11/16 17:14:28] 5 >> Gateway Connect OK!
[2025/11/16 17:14:28] 6 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/16 17:14:31] 7 >> DB Connect 0 is free !
[2025/11/16 17:14:37] 8 >> DB Connect 0 is busy !
[2025/11/16 17:14:37] 9 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/16 17:14:37] 10 >> Gateway txjx(192.168.254.53): User 123456 Logout Success ! (Ext:0)
[2025/11/16 17:14:37] 11 >> DB Connect 0 is free !
[2025/11/16 17:14:37] 12 >> DB Connect 0 is busy !
[2025/11/16 17:14:37] 13 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/16 17:14:37] 14 >> Gateway txjx(192.168.254.53): User 123456 Logout Success ! (Ext:0)
[2025/11/16 17:14:40] 15 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/16 17:14:40] 16 >> DB Connect 0 is free !
[2025/11/16 17:14:43] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:14:58] 18 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:15:13] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:15:28] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:15:43] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:15:58] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:16:13] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:16:28] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:16:43] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:16:58] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:17:13] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:17:28] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:17:43] 29 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:17:58] 30 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:18:13] 31 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:18:28] 32 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:18:43] 33 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:18:58] 34 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:19:13] 35 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:19:28] 36 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:19:43] 37 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:19:58] 38 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:20:13] 39 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:20:28] 40 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:20:43] 41 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:20:58] 42 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:21:16] 43 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:21:31] 44 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:21:46] 45 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:22:01] 46 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:22:16] 47 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:22:31] 48 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:22:46] 49 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:23:01] 50 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:23:16] 51 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:23:31] 52 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:23:46] 53 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:24:01] 54 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:24:16] 55 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:24:31] 56 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:24:46] 57 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:25:01] 58 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:25:16] 59 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:25:31] 60 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:25:46] 61 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:26:01] 62 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:26:16] 63 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:26:31] 64 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:26:46] 65 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:27:01] 66 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:27:16] 67 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:27:31] 68 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:27:46] 69 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:28:01] 70 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:28:16] 71 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:28:31] 72 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 17:28:46] 73 >> Gateway txjx(192.168.254.53): Ping 15(s)
