
*
***** Sword3PaySys Start (@ 2025/11/16 18:37:21.655) >>>>>
*

[2025/11/16 18:37:27] 1 >> DB Connect 0 is busy !
[2025/11/16 18:37:27] 2 >> Add Gateway(192.168.254.53 : 64834) Client 0 ! // -- At 0
[2025/11/16 18:37:27] 3 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/16 18:37:27] 4 >> Gateway unlock OK!
[2025/11/16 18:37:27] 5 >> Gateway Connect OK!
[2025/11/16 18:37:27] 6 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/16 18:37:30] 7 >> DB Connect 0 is free !
[2025/11/16 18:37:39] 8 >> DB Connect 0 is busy !
[2025/11/16 18:37:39] 9 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/16 18:37:42] 10 >> DB Connect 0 is free !
[2025/11/16 18:37:42] 11 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:37:57] 12 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:38:12] 13 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:38:27] 14 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:38:42] 15 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:38:57] 16 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:39:12] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:39:27] 18 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:39:42] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:39:57] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:40:12] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:40:27] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:40:42] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:40:57] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:41:12] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:41:27] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:41:42] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 18:41:57] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
