
*
***** Sword3PaySys Start (@ 2025/11/17 10:00:14.710) >>>>>
*

[2025/11/17 10:00:20] 1 >> DB Connect 0 is busy !
[2025/11/17 10:00:20] 2 >> Add Gateway(192.168.254.53 : 51036) Client 0 ! // -- At 0
[2025/11/17 10:00:20] 3 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/17 10:00:20] 4 >> Gateway unlock OK!
[2025/11/17 10:00:20] 5 >> Gateway Connect OK!
[2025/11/17 10:00:20] 6 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/17 10:00:23] 7 >> DB Connect 0 is free !
[2025/11/17 10:00:35] 8 >> DB Connect 0 is busy !
[2025/11/17 10:00:35] 9 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/17 10:00:35] 10 >> DB Connect 0 is free !
[2025/11/17 10:00:35] 11 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:00:50] 12 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:01:05] 13 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:01:20] 14 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:01:35] 15 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:01:50] 16 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:02:05] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:02:20] 18 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:02:35] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:02:50] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:03:05] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:03:20] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:03:35] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:03:50] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:04:05] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:04:20] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:04:35] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:04:50] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:05:05] 29 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:05:23] 30 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:05:38] 31 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:05:53] 32 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:06:08] 33 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:06:23] 34 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:06:38] 35 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:06:53] 36 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:07:08] 37 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:07:23] 38 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:07:38] 39 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:07:53] 40 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:08:08] 41 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:08:23] 42 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:08:38] 43 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:08:53] 44 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:09:08] 45 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:09:23] 46 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:09:38] 47 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:09:53] 48 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:10:08] 49 >> Gateway txjx(192.168.254.53): Ping 14(s)
[2025/11/17 10:10:23] 50 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:10:38] 51 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:10:53] 52 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:11:08] 53 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:11:23] 54 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:11:38] 55 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:11:53] 56 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:12:08] 57 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:12:23] 58 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:12:38] 59 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:12:53] 60 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:13:08] 61 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:13:23] 62 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:13:38] 63 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:13:53] 64 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:14:08] 65 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:14:23] 66 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:14:38] 67 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:14:53] 68 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:15:08] 69 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:15:23] 70 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:15:38] 71 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:15:53] 72 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:16:08] 73 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:16:23] 74 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:16:38] 75 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:16:53] 76 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:17:08] 77 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:17:23] 78 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:17:38] 79 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:17:53] 80 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 10:18:08] 81 >> Gateway txjx(192.168.254.53): Ping 15(s)
