
*
***** Sword3PaySys Start (@ 2025/11/17 23:07:32.732) >>>>>
*

[2025/11/17 23:07:38] 1 >> DB Connect 0 is busy !
[2025/11/17 23:07:38] 2 >> Add Gateway(192.168.254.53 : 53979) Client 0 ! // -- At 0
[2025/11/17 23:07:38] 3 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/17 23:07:38] 4 >> Gateway unlock OK!
[2025/11/17 23:07:38] 5 >> Gateway Connect OK!
[2025/11/17 23:07:38] 6 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/17 23:07:41] 7 >> DB Connect 0 is free !
[2025/11/17 23:07:50] 8 >> DB Connect 0 is busy !
[2025/11/17 23:07:50] 9 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/17 23:07:53] 10 >> DB Connect 0 is free !
[2025/11/17 23:07:53] 11 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:08:08] 12 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:08:23] 13 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:08:38] 14 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:08:53] 15 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:09:08] 16 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:09:23] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:09:38] 18 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:09:53] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:10:08] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:10:23] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:10:38] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:10:53] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:11:08] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:11:23] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:11:38] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:11:53] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:12:08] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:12:23] 29 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:12:38] 30 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:12:53] 31 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:13:08] 32 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:13:23] 33 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:13:38] 34 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/17 23:13:56] 35 >> Gateway txjx(192.168.254.53): Ping 15(s)
