
*
***** Sword3PaySys Start (@ 2025/11/15 22:34:58.468) >>>>>
*

[2025/11/15 22:35:04] 1 >> DB Connect 0 is busy !
[2025/11/15 22:35:04] 2 >> Add Gateway(192.168.254.53 : 58264) Client 0 ! // -- At 0
[2025/11/15 22:35:04] 3 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/15 22:35:04] 4 >> Gateway unlock OK!
[2025/11/15 22:35:04] 5 >> Gateway Connect OK!
[2025/11/15 22:35:04] 6 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/15 22:35:07] 7 >> DB Connect 0 is free !
[2025/11/15 22:35:19] 8 >> DB Connect 0 is busy !
[2025/11/15 22:35:19] 9 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/15 22:35:19] 10 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:35:22] 11 >> DB Connect 0 is free !
[2025/11/15 22:35:34] 12 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:35:49] 13 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:36:04] 14 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:36:19] 15 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:36:34] 16 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:36:49] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:37:04] 18 >> Gateway txjx(192.168.254.53): Ping 14(s)
[2025/11/15 22:37:19] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:37:34] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:37:49] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:38:04] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:38:19] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:38:34] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:38:49] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:39:07] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:39:22] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:39:37] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:39:52] 29 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:40:07] 30 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:40:22] 31 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:40:37] 32 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:40:52] 33 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:41:07] 34 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:41:22] 35 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:41:37] 36 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:41:52] 37 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:42:07] 38 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:42:22] 39 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:42:37] 40 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:42:52] 41 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:43:07] 42 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:43:22] 43 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:43:37] 44 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:43:52] 45 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:44:07] 46 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:44:22] 47 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:44:37] 48 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:44:52] 49 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:45:07] 50 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:45:22] 51 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:45:37] 52 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:45:52] 53 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:46:07] 54 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:46:22] 55 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:46:37] 56 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:46:52] 57 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:47:07] 58 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:47:22] 59 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:47:37] 60 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:47:52] 61 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:48:07] 62 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:48:22] 63 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:48:37] 64 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:48:52] 65 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:49:07] 66 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:49:22] 67 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:49:37] 68 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:49:52] 69 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:50:07] 70 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:50:22] 71 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:50:37] 72 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:50:52] 73 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:51:07] 74 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:51:22] 75 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:51:37] 76 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:51:52] 77 >> Gateway txjx(192.168.254.53): Ping 14(s)
[2025/11/15 22:52:07] 78 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:52:22] 79 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:52:37] 80 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:52:52] 81 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:53:07] 82 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:53:22] 83 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:53:37] 84 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:53:52] 85 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:54:07] 86 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:54:22] 87 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:54:37] 88 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:54:52] 89 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:55:07] 90 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:55:22] 91 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:55:37] 92 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:55:52] 93 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:56:07] 94 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:56:22] 95 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:56:37] 96 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:56:52] 97 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:57:07] 98 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:57:22] 99 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:57:37] 100 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:57:52] 101 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:58:07] 102 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:58:23] 103 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:58:38] 104 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:58:53] 105 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:59:08] 106 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:59:23] 107 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:59:38] 108 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:59:53] 109 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 22:59:59] 110 >> Remove Gateway Client 0 ! // -- At 0
[2025/11/15 23:00:00] Nomal exit !!!

*
***** Sword3PaySys Stop (@ 2025/11/15 23:00:00.427) <<<<<
*

